area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
119,2,2,3,1,-26.998846,-48.630877,1.60153985667349,1180000,9915.966386554623
125,3,2,3,1,-26.969253,-48.634355000000006,1.85330703798523,1100000,8800.0
151,0,2,3,3,-26.9933739,-48.630489,1.09623051801495,2450000,16225.165562913908
135,0,2,3,3,-27.0011858,-48.6298047,1.88279332287048,1850000,13703.703703703704
45,1,1,1,0,-27.0026,-48.6231,2.35709275305328,350000,7777.777777777777
104,2,2,3,1,-27.00082,-48.627539,1.94797265481594,970000,9326.923076923076
157,4,2,3,3,-27.00610661169796,-48.61044163689576,3.50912108198369,4795000,30541.40127388535
190,3,2,4,2,-26.9904,-48.6295,0.942442742040593,2100000,11052.631578947368
264,6,4,5,5,-26.9741,-48.6352,1.30729832642093,6800000,25757.575757575756
124,2,1,3,1,-26.991928100585938,-48.63208770751953,0.871815949500196,690000,5564.5161290322585
118,3,2,3,3,-27.002,-48.629,1.99811138164926,1443000,12228.813559322034
57,2,1,2,1,-26.9921168,-48.6441127,0.978945661853831,530000,9298.245614035088
130,4,3,3,3,-26.985359191894528,-48.63893508911133,0.157616912976504,1250000,9615.384615384615
129,0,3,3,3,-27.0014574,-48.6246751,2.16206433429958,1800000,13953.488372093023
135,5,3,4,4,-27.0019659,-48.6281414,2.03165939377387,1390000,10296.296296296296
139,7,3,3,3,-26.9925,-48.6395,0.787507617674939,1299000,9345.323741007194
139,0,3,4,4,-26.9968422,-48.6284246,1.52782938742113,1800000,12949.640287769784
134,4,2,3,3,-26.9921423,-48.63462659999999,0.769682682015445,850000,6343.2835820895525
69,2,2,2,1,-26.981494903564453,-48.646427154541016,1.01055886639792,590000,8550.72463768116
182,4,2,3,3,-26.993093,-48.635628,0.843394685450829,3900000,21428.571428571428
130,3,3,3,3,-26.9838874,-48.6373607,0.199647209837335,1900000,14615.384615384615
146,3,3,4,2,-27.0024064,-48.6300957,1.99745564277363,1410000,9657.534246575342
117,4,2,3,3,-27.001825,-48.627293,2.05729570082006,1250000,10683.760683760684
105,2,2,3,1,-27.0002,-48.6287,1.83166248042205,720000,6857.142857142857
130,1,3,3,3,-26.9818537,-48.6377646,0.427657217526212,2310000,17769.23076923077
